,CARD_SIDO_NM,AGE,sex_age_population,SEX_CTGO_CD
161,세종,50s,"20,682",2
162,경기,50s,"1,076,074",2
163,강원,50s,"129,540",2
164,충북,50s,"131,806",2
165,충남,50s,"159,467",2
166,전북,50s,"145,086",2
167,전남,50s,"146,018",2
168,경북,50s,"222,010",2
169,경남,50s,"284,485",2
170,제주,60s,"37,406",2
171,서울,60s,"619,207",2
172,부산,60s,"265,830",2
173,대구,60s,"162,471",2
174,인천,60s,"173,141",2
175,광주,60s,"81,000",2
176,대전,60s,"87,302",2
177,울산,60s,"67,588",2
178,세종,60s,"14,022",2
179,경기,60s,"713,168",2
180,강원,60s,"113,454",2
181,충북,60s,"104,885",2
182,충남,60s,"132,263",2
183,전북,60s,"123,702",2
184,전남,60s,"128,649",2
185,경북,60s,"196,060",2
186,경남,60s,"218,619",2
187,제주,70s,"24,251",2
188,서울,70s,"365,565",2
189,부산,70s,"155,714",2
190,대구,70s,"96,425",2
191,인천,70s,"93,569",2
192,광주,70s,"50,470",2
193,대전,70s,"48,260",2
194,울산,70s,"30,344",2
195,세종,70s,"7,389",2
196,경기,70s,"403,905",2
197,강원,70s,"74,378",2
198,충북,70s,"65,436",2
199,충남,70s,"91,625",2
200,전북,70s,"92,709",2
201,전남,70s,"107,893",2
202,경북,70s,"132,811",2
203,경남,70s,"134,638",2
