,CARD_SIDO_NM,STD_CLSS_NM,total_sale_by_indst
234,대전,관광 민예품 및 선물용품 소매업,9082.0
235,대전,그외 기타 스포츠시설 운영업,5667.0
236,대전,그외 기타 종합 소매업,72846.0
237,대전,기타 대형 종합 소매업,1188126.0
238,대전,기타 수상오락 서비스업,259.0
239,대전,기타 외국식 음식점업,11247.0
240,대전,기타 주점업,199356.0
241,대전,기타음식료품위주종합소매업,359134.0
242,대전,마사지업,12529.0
243,대전,비알콜 음료점업,244667.0
244,대전,빵 및 과자류 소매업,10098.0
245,대전,서양식 음식점업,107278.0
246,대전,수산물 소매업,61690.0
247,대전,슈퍼마켓,797218.0
248,대전,스포츠 및 레크레이션 용품 임대업,1579.0
249,대전,여관업,72885.0
250,대전,여행사업,40245.0
251,대전,욕탕업,36230.0
252,대전,육류 소매업,267512.0
253,대전,일반유흥 주점업,45377.0
254,대전,일식 음식점업,83500.0
255,대전,자동차 임대업,89871.0
256,대전,전시 및 행사 대행업,40123.0
257,대전,중식 음식점업,134005.0
258,대전,차량용 가스 충전업,163930.0
259,대전,차량용 주유소 운영업,938680.0
260,대전,체인화 편의점,514660.0
261,대전,피자 햄버거 샌드위치 및 유사 음식점업,166537.0
262,대전,한식 음식점업,1557790.0
263,대전,호텔업,94150.0
264,대전,화장품 및 방향제 소매업,282159.0
265,부산,건강보조식품 소매업,107428.0
266,부산,골프장 운영업,80670.0
267,부산,과실 및 채소 소매업,237105.0
268,부산,관광 민예품 및 선물용품 소매업,21560.0
269,부산,그외 기타 스포츠시설 운영업,25150.0
270,부산,그외 기타 종합 소매업,230906.0
271,부산,기타 대형 종합 소매업,2641794.0
272,부산,기타 수상오락 서비스업,1179.0
273,부산,기타 외국식 음식점업,40570.0
274,부산,기타 주점업,667421.0
275,부산,기타음식료품위주종합소매업,559959.0
276,부산,내항 여객 운송업,18331.529411764746
277,부산,마사지업,30496.0
278,부산,면세점,253839810362578.1
279,부산,버스 운송업,499493.2941176509
280,부산,비알콜 음료점업,543273.0
281,부산,빵 및 과자류 소매업,28474.0
282,부산,서양식 음식점업,287913.0
283,부산,수산물 소매업,261381.0
284,부산,슈퍼마켓,2270913.0
285,부산,스포츠 및 레크레이션 용품 임대업,10748.0
286,부산,여관업,205346.0
287,부산,여행사업,209150.0
288,부산,욕탕업,170568.0
289,부산,육류 소매업,448513.0
290,부산,일반유흥 주점업,285522.0
291,부산,일식 음식점업,216028.0
292,부산,자동차 임대업,243889.0
293,부산,전시 및 행사 대행업,128630.0
294,부산,정기 항공 운송업,1192454.8823528592
295,부산,중식 음식점업,231807.0
296,부산,차량용 가스 충전업,367519.0
297,부산,차량용 주유소 운영업,2017598.0
298,부산,체인화 편의점,1308340.0
299,부산,택시 운송업,504004.176470589
300,부산,피자 햄버거 샌드위치 및 유사 음식점업,393628.0
301,부산,한식 음식점업,3525173.0
302,부산,호텔업,497565.0
303,부산,화장품 및 방향제 소매업,653140.0
304,부산,휴양콘도 운영업,29534.0
305,서울,건강보조식품 소매업,1014807.0
306,서울,골프장 운영업,11388.0
307,서울,과실 및 채소 소매업,813708.0
308,서울,관광 민예품 및 선물용품 소매업,302493.0
309,서울,그외 기타 스포츠시설 운영업,37864.0
310,서울,그외 기타 종합 소매업,970747.0
311,서울,기타 대형 종합 소매업,11790872.0
312,서울,기타 수상오락 서비스업,1205.0
313,서울,기타 외국식 음식점업,363396.0
314,서울,기타 주점업,2370077.0
315,서울,기타음식료품위주종합소매업,2212721.0
316,서울,내항 여객 운송업,18331.529411763335
317,서울,마사지업,128873.0
318,서울,면세점,321637848625711.7
319,서울,버스 운송업,499493.2941175927
320,서울,비알콜 음료점업,3086757.0
321,서울,빵 및 과자류 소매업,128047.0
322,서울,서양식 음식점업,1880804.0
323,서울,수산물 소매업,435467.0
324,서울,슈퍼마켓,6097608.0
325,서울,스포츠 및 레크레이션 용품 임대업,16334.0
326,서울,여관업,540779.0
327,서울,여행사업,2522901.0
328,서울,욕탕업,280547.0
329,서울,육류 소매업,1405284.0
330,서울,일반유흥 주점업,629281.0
331,서울,일식 음식점업,1460864.0
332,서울,자동차 임대업,2871971.0
333,서울,전시 및 행사 대행업,1436160.0
334,서울,정기 항공 운송업,1192454.8823528483
335,서울,중식 음식점업,1423145.0
336,서울,차량용 가스 충전업,731818.0
337,서울,차량용 주유소 운영업,3272574.0
338,서울,체인화 편의점,5628865.0
339,서울,택시 운송업,504004.17647064
340,서울,피자 햄버거 샌드위치 및 유사 음식점업,1486905.0
341,서울,한식 음식점업,12567602.0
342,서울,호텔업,3272315.0
343,서울,화장품 및 방향제 소매업,4089513.0
344,세종,건강보조식품 소매업,2194.0
345,세종,골프장 운영업,20402882792343.863
346,세종,과실 및 채소 소매업,5857.0
347,세종,관광 민예품 및 선물용품 소매업,209.0
348,세종,그외 기타 분류안된 오락관련 서비스업,735.0
349,세종,그외 기타 스포츠시설 운영업,330.0
350,세종,그외 기타 종합 소매업,3104.0
351,세종,기타 대형 종합 소매업,150185.0
352,세종,기타 수상오락 서비스업,506702953.94648093
353,세종,기타 외국식 음식점업,4213.0
354,세종,기타 주점업,17844.0
355,세종,기타음식료품위주종합소매업,41179.0
356,세종,마사지업,1086.0
357,세종,비알콜 음료점업,38179.0
358,세종,빵 및 과자류 소매업,595.0
359,세종,서양식 음식점업,12224.0
360,세종,수산물 소매업,4456.0
361,세종,슈퍼마켓,127819.0
362,세종,스포츠 및 레크레이션 용품 임대업,374.0
363,세종,여관업,6022.0
364,세종,욕탕업,2828.0
365,세종,육류 소매업,37043.0
366,세종,일반유흥 주점업,4328.0
367,세종,일식 음식점업,9324.0
368,세종,전시 및 행사 대행업,1295.0
369,세종,중식 음식점업,23893.0
370,세종,차량용 가스 충전업,13374.0
371,세종,차량용 주유소 운영업,181743.0
372,세종,체인화 편의점,88741.0
373,세종,피자 햄버거 샌드위치 및 유사 음식점업,17165.0
