,CARD_SIDO_NM,STD_CLSS_NM,Maechul
431,제주,여관업,101660
432,제주,휴양콘도 운영업,137082
433,제주,한식 음식점업,1254813
434,제주,중식 음식점업,55811
435,제주,일식 음식점업,32202
436,제주,서양식 음식점업,54475
437,제주,기타 외국식 음식점업,3447
438,제주,피자  햄버거  샌드위치 및 유사 음식점업,61595
439,제주,일반유흥 주점업,175176
440,제주,기타 주점업,108519
441,제주,비알콜 음료점업,124909
